 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 03/11/2009   17:57:04
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:57:04  |  General  |  Info  |  * Initialise: Gui  |  MyGUI_Gui.cpp  |  55
17:57:04  |  General  |  Info  |  * MyGUI version 2.3.0  |  MyGUI_Gui.cpp  |  59
17:57:04  |  General  |  Info  |  Viewport : 800 600  |  MyGUI_Gui.cpp  |  69
17:57:04  |  General  |  Info  |  * Initialise: ResourceManager  |  MyGUI_ResourceManager.cpp  |  41
17:57:04  |  General  |  Info  |  ResourceManager successfully initialized  |  MyGUI_ResourceManager.cpp  |  53
17:57:04  |  General  |  Info  |  * Initialise: LayerManager  |  MyGUI_LayerManager.cpp  |  41
17:57:04  |  General  |  Info  |  LayerManager successfully initialized  |  MyGUI_LayerManager.cpp  |  73
17:57:04  |  General  |  Info  |  * Initialise: WidgetManager  |  MyGUI_WidgetManager.cpp  |  62
17:57:04  |  General  |  Info  |  * Register widget factory 'Widget'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Button'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Window'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'List'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'HScroll'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'VScroll'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Edit'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'ComboBox'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'StaticText'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Tab'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'TabItem'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'TabItem'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Sheet'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Progress'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'ItemBox'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'MultiList'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'StaticImage'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Message'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'RenderBox'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'MenuCtrl'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'MenuItem'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'PopupMenu'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'MenuBar'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'ScrollView'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'DDContainer'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  * Register widget factory 'Canvas'  |  MyGUI_WidgetManager.cpp  |  118
17:57:04  |  General  |  Info  |  WidgetManager successfully initialized  |  MyGUI_WidgetManager.cpp  |  93
17:57:04  |  General  |  Info  |  * Initialise: InputManager  |  MyGUI_InputManager.cpp  |  51
17:57:04  |  General  |  Info  |  InputManager successfully initialized  |  MyGUI_InputManager.cpp  |  74
17:57:04  |  General  |  Info  |  * Initialise: SubWidgetManager  |  MyGUI_SubWidgetManager.cpp  |  33
17:57:04  |  General  |  Info  |  SubWidgetManager successfully initialized  |  MyGUI_SubWidgetManager.cpp  |  49
17:57:04  |  General  |  Info  |  * Initialise: SkinManager  |  MyGUI_SkinManager.cpp  |  40
17:57:04  |  General  |  Info  |  SkinManager successfully initialized  |  MyGUI_SkinManager.cpp  |  46
17:57:04  |  General  |  Info  |  * Initialise: FontManager  |  MyGUI_FontManager.cpp  |  43
17:57:04  |  General  |  Info  |  FontManager successfully initialized  |  MyGUI_FontManager.cpp  |  47
17:57:04  |  General  |  Info  |  * Initialise: ControllerManager  |  MyGUI_ControllerManager.cpp  |  36
17:57:04  |  General  |  Info  |  ControllerManager successfully initialized  |  MyGUI_ControllerManager.cpp  |  40
17:57:04  |  General  |  Info  |  * Initialise: PointerManager  |  MyGUI_PointerManager.cpp  |  41
